,File_Name,Bbox,Height,Width,Disease_Name
3478,train_194.png,"[2014.1176470588234, 722.4117647058823, 155.88235294117658, 260.5882352941177]",1316,2800,caries
2407,train_691.png,"[1737.0, 791.0, 144.0, 174.0]",1316,2827,deep_caries
962,train_467.png,"[1139.0, 852.0, 86.0, 282.0]",1504,2540,caries
1892,train_557.png,"[1113.0, 720.0, 139.0, 366.0]",1316,2967,periapical
1860,train_622.png,"[801.0, 820.0, 172.0, 192.0]",1316,2977,impacted
3070,train_186.png,"[695.0, 610.0, 281.0, 299.0]",1316,2891,caries
116,train_693.png,"[676.0, 341.0, 227.0, 244.0]",1316,2827,impacted
2220,train_321.png,"[2217.0, 863.0, 178.0, 204.0]",1504,2872,impacted
2781,train_481.png,"[683.6363636363636, 761.8181818181818, 165.45454545454538, 319.090909090909]",1504,2480,deep_caries
1628,train_280.png,"[1794.0, 645.0, 186.0, 298.0]",1316,2844,deep_caries
3248,train_616.png,"[298.0, 815.0, 262.0, 267.0]",1504,2476,caries
110,train_564.png,"[1200.0, 535.0, 155.75, 238.25]",976,1976,deep_caries
1547,train_128.png,"[1241.0, 486.0, 94.0, 284.0]",1316,2851,caries
474,train_92.png,"[1833.25, 794.125, 312.0, 277.0]",1503,2892,periapical
719,train_400.png,"[730.0, 358.0, 132.0, 241.0]",1316,2846,caries
1687,train_234.png,"[549.5049504950495, 288.1188118811881, 106.93069306930693, 223.76237623762376]",976,1976,caries
1934,train_257.png,"[845.0, 687.0, 275.0, 347.0]",1316,2793,caries
71,train_498.png,"[1908.0, 354.0, 205.0, 220.0]",1316,2910,impacted
56,train_509.png,"[831.7460317460317, 426.984126984127, 233.33333333333337, 171.42857142857144]",1316,2928,impacted
2139,train_442.png,"[2047.0, 651.0, 150.0, 251.0]",1316,2983,impacted
3352,train_298.png,"[309.0, 833.0, 218.0, 226.0]",1504,2628,caries
2145,train_478.png,"[2127.7142857142853, 444.6428571428571, 112.5, 333.92857142857133]",1316,2830,caries
846,train_436.png,"[560.0, 795.0, 255.0, 245.0]",1504,2872,caries
3276,train_249.png,"[1365.0, 471.0, 96.0, 337.0]",1504,2868,caries
1240,train_152.png,"[1919.0, 654.0, 156.0, 281.0]",1504,2872,caries
273,train_54.png,"[1811.0, 451.0, 121.0, 290.0]",1316,2904,caries
1930,train_612.png,"[562.438596491228, 602.7192982456139, 228.07017543859638, 259.64912280701753]",1316,2769,caries
484,train_518.png,"[1709.0, 725.0, 166.0, 298.0]",1316,2982,caries
2694,train_572.png,"[925.0, 696.0, 224.0, 280.0]",1316,2927,deep_caries
404,train_117.png,"[1966.0, 151.0, 178.0, 285.0]",1316,2817,impacted
1541,train_128.png,"[778.0, 414.0, 162.0, 193.0]",1316,2851,impacted
2679,train_295.png,"[1833.0, 523.0, 131.0, 280.0]",1316,2916,caries
361,train_292.png,"[679.0, 715.0, 298.0, 311.0]",1316,2666,caries
697,train_240.png,"[1731.0679611650485, 787.3786407766991, 264.0776699029127, 297.0873786407767]",1316,2960,periapical
2921,train_345.png,"[1878.090909090909, 324.0, 153.909090909091, 276.0]",1316,2846,impacted
1128,train_471.png,"[1632.0, 903.0, 220.0, 233.0]",1504,2412,caries
1147,train_80.png,"[1737.0, 452.08108108108104, 113.0, 329.91891891891896]",1316,2728,deep_caries
3068,train_36.png,"[1636.0, 984.0, 213.0, 292.0]",1504,2544,caries
1094,train_524.png,"[1736.4864864864865, 841.8918918918919, 105.40540540540542, 331.08108108108104]",1504,2872,deep_caries
3408,train_335.png,"[1550.0, 504.4347826086956, 122.0, 335.5652173913044]",1316,2659,caries
2826,train_504.png,"[1530.888888888889, 426.3888888888889, 77.11111111111109, 344.44444444444446]",1316,2856,caries
2886,train_619.png,"[1963.8297872340424, 677.6595744680851, 256.3829787234042, 298.9361702127659]",1316,2830,deep_caries
2668,train_212.png,"[653.0, 655.0, 196.0, 222.0]",1316,2882,impacted
2304,train_387.png,"[720.6896551724138, 784.4827586206898, 267.2413793103449, 287.9310344827586]",1316,2731,caries
915,train_331.png,"[705.0, 903.0, 206.0, 178.0]",1504,2872,impacted
1067,train_391.png,"[2034.0, 726.0, 245.0, 308.0]",1504,2884,caries
220,train_41.png,"[1277.0, 421.0, 157.0, 161.0]",976,1976,caries
1394,train_195.png,"[1021.0, 945.0, 226.0, 303.0]",1504,2872,deep_caries
1195,train_658.png,"[612.0, 677.0, 265.0, 281.66666666666674]",1316,2656,caries
1091,train_524.png,"[1748.0, 451.0, 119.0, 364.0]",1504,2872,caries
2527,train_144.png,"[1833.0, 581.0, 156.0, 288.0]",1504,2868,caries
357,train_292.png,"[431.0, 636.0, 211.0, 191.0]",1316,2666,impacted
2002,train_680.png,"[781.0, 262.0, 152.0, 340.0]",1316,2798,deep_caries
980,train_79.png,"[1318.0, 245.25, 97.5, 143.75]",976,1976,impacted
180,train_289.png,"[1911.0, 499.0, 206.0, 294.0]",1504,2868,caries
3044,train_380.png,"[957.0, 808.0, 202.0, 311.0]",1504,2884,deep_caries
948,train_84.png,"[755.1403508771929, 396.45614035087715, 166.66666666666663, 322.8070175438596]",1316,2794,caries
2719,train_575.png,"[359.0, 778.0, 174.0, 242.0]",1504,2556,impacted
1257,train_696.png,"[1691.0, 677.0, 132.0, 336.0]",1316,2965,caries
270,train_54.png,"[1017.0, 736.0, 176.0, 297.0]",1316,2904,caries
1570,train_304.png,"[1993.0, 492.0, 101.0, 261.0]",1316,2952,caries
3334,train_288.png,"[565.0, 523.75, 185.0, 228.75]",976,1976,caries
593,train_188.png,"[1909.0, 657.0, 289.0, 354.0]",1504,2872,deep_caries
3014,train_537.png,"[991.0, 465.0, 122.0, 350.0]",1504,2880,caries
2664,train_198.png,"[992.741935483871, 818.5483870967741, 180.64516129032268, 278.2258064516129]",1316,2969,caries
1490,train_555.png,"[1128.2051282051282, 797.8461538461538, 120.51282051282055, 305.1282051282051]",1316,2828,caries
1332,train_515.png,"[810.0, 567.0, 242.0, 265.0]",1316,2860,deep_caries
210,train_440.png,"[1805.0, 673.0, 257.0, 241.0]",1316,2750,caries
1739,train_366.png,"[1777.0, 705.0, 260.0, 280.0]",1316,2830,caries
2828,train_577.png,"[860.0, 510.0, 144.0, 291.0]",1316,2732,caries
3055,train_520.png,"[1422.4814814814813, 416.0, 85.18518518518522, 297.74074074074065]",1316,2942,caries
2552,train_282.png,"[730.0, 377.0, 173.0, 207.0]",1316,2796,impacted
3368,train_429.png,"[1591.8032786885246, 668.032786885246, 95.0819672131147, 340.1639344262295]",1316,2854,caries
1306,train_159.png,"[1461.9999999999998, 337.5, 105.35714285714289, 299.9999999999999]",1316,2820,caries
3394,train_185.png,"[1972.0, 753.0, 279.0, 219.0]",1316,2894,deep_caries
1931,train_257.png,"[2007.0, 606.0, 135.0, 164.0]",1316,2793,impacted
1480,train_156.png,"[1739.0, 783.0, 112.0, 287.0]",1316,2892,caries
3000,train_701.png,"[1643.0, 636.0, 104.0, 309.0]",1316,2906,deep_caries
1176,train_464.png,"[860.0, 799.0, 160.0, 267.0]",1504,2872,caries
3145,train_642.png,"[1781.0, 400.0, 96.0, 307.0]",1316,2879,caries
2371,train_237.png,"[750.0, 870.0, 313.0, 313.0]",1504,2884,caries
2857,train_192.png,"[1882.978723404255, 543.6170212765957, 197.872340425532, 230.85106382978722]",1504,2872,impacted
2691,train_420.png,"[1924.0, 549.0, 188.0, 317.0]",1504,2884,caries
397,train_404.png,"[2025.0, 473.0, 135.0, 262.0]",1316,2960,caries
1054,train_10.png,"[838.0, 776.0, 192.0, 274.0]",1316,2837,caries
1740,train_413.png,"[910.2857142857142, 368.57142857142856, 145.71428571428578, 314.2857142857142]",1316,2906,caries
650,train_300.png,"[2094.0, 595.0, 167.0, 199.0]",1504,2872,impacted
941,train_529.png,"[900.0, 602.0, 155.0, 310.0]",1504,2872,caries
1507,train_171.png,"[819.9999999999999, 747.0588235294117, 258.43137254901956, 309.4117647058822]",1316,2882,caries
2461,train_375.png,"[1181.0, 478.0, 66.0, 269.0]",1504,2872,caries
3348,train_34.png,"[1510.0, 559.0, 122.0, 370.0]",1504,2872,caries
1099,train_524.png,"[1277.027027027027, 506.7567567567568, 93.24324324324311, 310.81081081081084]",1504,2872,deep_caries
2267,train_148.png,"[1787.0, 954.0, 123.0, 200.0]",1504,2872,deep_caries
541,train_231.png,"[1975.0, 369.0, 150.0, 265.0]",1316,2745,impacted
1027,train_155.png,"[1757.0, 456.0, 133.0, 365.0]",1504,2868,deep_caries
1484,train_57.png,"[1732.0, 413.0, 126.0, 308.0]",1504,2872,caries
1443,train_191.png,"[1122.923076923077, 744.5384615384615, 225.0, 451.9230769230768]",1504,2880,periapical
3480,train_111.png,"[1749.0, 761.0, 171.0, 299.0]",1316,2806,caries
2991,train_316.png,"[1619.2432432432433, 667.0, 123.75675675675666, 312.0]",1316,2783,deep_caries
245,train_700.png,"[2080.0, 446.0, 149.0, 282.0]",1536,3076,deep_caries
2938,train_201.png,"[490.0, 774.0, 258.0, 244.0]",1504,2868,impacted
143,train_348.png,"[599.0, 1055.0, 178.0, 183.0]",1504,2872,impacted
3273,train_249.png,"[1795.0, 839.0, 256.0, 335.0]",1504,2868,caries
1036,train_356.png,"[1057.0, 436.0, 106.0, 294.0]",1316,2799,caries
651,train_300.png,"[2198.969696969697, 940.0, 205.0, 199.0]",1504,2872,impacted
1855,train_27.png,"[1767.0, 664.0, 227.0, 307.0]",1316,2822,caries
1607,train_145.png,"[1489.0, 956.0, 67.0, 239.0]",1504,2872,periapical
2265,train_148.png,"[2150.0, 857.0, 193.0, 234.0]",1504,2872,impacted
444,train_294.png,"[940.0, 344.0, 138.0, 292.0]",1316,2880,deep_caries
1602,train_145.png,"[1144.0, 575.0, 196.0, 376.0]",1504,2872,periapical
2923,train_345.png,"[1791.0, 387.0, 154.0, 314.0]",1316,2846,caries
2249,train_535.png,"[981.0, 685.0, 242.0, 299.0]",1316,2954,caries
1276,train_358.png,"[878.8659793814434, 732.4742268041238, 225.25773195876286, 336.59793814433]",1316,2862,caries
1654,train_265.png,"[2103.0, 545.0, 180.0, 269.0]",1504,2872,caries
9,train_673.png,"[1806.0, 696.0, 237.0, 308.0]",1316,2744,caries
1062,train_391.png,"[772.0, 765.0, 315.0, 313.0]",1504,2884,caries
2986,train_684.png,"[949.0, 456.0, 101.0, 275.0]",1316,2694,caries
700,train_166.png,"[1804.0, 616.0, 114.0, 286.0]",1316,2947,caries
2843,train_184.png,"[1088.0, 524.0, 98.0, 284.0]",1504,2872,deep_caries
2125,train_582.png,"[1867.0, 688.0, 177.0, 219.0]",1316,2977,deep_caries
1665,train_468.png,"[1907.0, 258.0, 195.3207547169809, 317.5283018867924]",1316,2989,caries
661,train_531.png,"[2001.0, 713.0, 231.0, 312.0]",1504,2872,caries
1582,train_584.png,"[1878.0, 635.0, 175.0, 300.0]",1504,2868,caries
2806,train_371.png,"[960.0, 451.0, 167.0, 275.0]",1316,2886,caries
926,train_332.png,"[1837.0, 527.0, 126.0, 239.0]",1316,2983,caries
1241,train_548.png,"[609.0, 822.0, 194.0, 236.0]",1504,2884,impacted
758,train_451.png,"[1631.0, 726.0, 239.0, 278.0]",1316,2789,caries
1346,train_454.png,"[1852.0, 687.0, 234.0, 270.0]",1316,2981,caries
1910,train_484.png,"[883.0, 349.0, 172.0, 229.0]",1316,2971,impacted
1738,train_366.png,"[681.0, 619.0, 271.0, 284.0]",1316,2830,deep_caries
2404,train_691.png,"[1876.0, 488.0, 106.0, 157.0]",1316,2827,impacted
1260,train_519.png,"[2074.0, 543.0, 162.0, 296.0]",1504,2868,caries
2672,train_560.png,"[850.0, 396.0, 212.0, 315.0]",1316,2789,caries
1917,train_649.png,"[1659.0, 743.0, 107.0, 291.0]",1316,2922,caries
2830,train_339.png,"[1923.0, 417.0, 188.0, 192.0]",1316,2922,impacted
2201,train_67.png,"[1928.0, 271.0, 175.0, 282.0]",1504,2872,impacted
1212,train_9.png,"[1100.0, 553.0, 87.0, 307.0]",1504,2872,deep_caries
331,train_3.png,"[974.0, 743.7894736842105, 114.63157894736833, 257.2105263157895]",1316,2682,caries
2671,train_560.png,"[500.0, 806.0, 253.0, 171.0]",1316,2789,impacted
1058,train_327.png,"[945.5882352941176, 336.7647058823529, 65.44117647058829, 208.23529411764707]",976,1976,caries
2361,train_6.png,"[1370.0, 712.0, 60.0, 302.0]",1316,2835,deep_caries
198,train_290.png,"[784.8571428571428, 491.8571428571428, 140.14285714285722, 308.92857142857144]",1316,2829,caries
2105,train_334.png,"[1904.0, 551.0, 197.0, 305.0]",1504,2872,caries
3309,train_82.png,"[2075.0, 820.0, 180.0, 271.0]",1504,2872,impacted
321,train_3.png,"[1490.0, 509.7894736842105, 93.63157894736833, 258.2105263157895]",1316,2682,caries
657,train_531.png,"[932.0, 482.0, 151.0, 282.0]",1504,2872,caries
1714,train_241.png,"[1186.0, 645.0, 107.0, 267.0]",1504,2872,caries
470,train_694.png,"[1098.0, 880.0, 123.0, 348.0]",1504,2872,caries
1038,train_356.png,"[1873.0, 741.0, 234.0, 278.0]",1316,2799,deep_caries
961,train_467.png,"[804.0, 844.0, 119.0, 343.0]",1504,2540,caries
1,train_673.png,"[1952.0, 693.0, 177.0, 270.0]",1316,2744,impacted
380,train_541.png,"[616.0, 412.0, 262.0, 246.0]",1316,2729,impacted
3210,train_601.png,"[1819.0, 678.0, 242.0, 245.0]",1316,2795,caries
1236,train_152.png,"[762.0, 913.0, 233.0, 289.0]",1504,2872,caries
2168,train_349.png,"[1946.017699115044, 646.0176991150441, 207.07964601769913, 200.0]",1316,2757,caries
628,train_385.png,"[1906.5454545454545, 265.7272727272727, 169.090909090909, 314.54545454545456]",1316,2888,caries
2578,train_119.png,"[1772.8571428571427, 459.71428571428567, 126.78571428571422, 283.92857142857133]",1316,2805,caries
1314,train_159.png,"[1040.5714285714284, 669.6428571428571, 135.71428571428578, 291.07142857142844]",1316,2820,deep_caries
3193,train_42.png,"[672.0, 729.0, 256.0, 274.0]",1316,2828,caries
3452,train_479.png,"[1788.0, 515.0, 113.0, 300.0]",1504,2872,deep_caries
1948,train_562.png,"[1468.8461538461538, 829.1538461538462, 84.61538461538453, 276.9230769230769]",1504,2868,periapical
2107,train_334.png,"[1671.0, 818.0, 102.0, 352.0]",1504,2872,caries
2505,train_414.png,"[1749.0566037735848, 486.43396226415086, 105.66037735849068, 250.94339622641508]",1316,2855,caries
3489,train_224.png,"[1878.0, 647.0, 255.0, 295.0]",1316,2978,caries
1028,train_155.png,"[1965.0, 446.0, 152.0, 346.0]",1504,2868,caries
1921,train_688.png,"[1894.0, 576.0, 245.0, 326.0]",1316,2864,caries
3151,train_587.png,"[1740.344827586207, 308.65517241379314, 196.55172413793116, 305.1724137931035]",1316,2714,caries
808,train_101.png,"[1214.0, 786.0, 104.0, 299.0]",1316,2916,caries
1419,train_26.png,"[2002.0, 508.0, 219.0, 308.0]",1504,2872,caries
1618,train_528.png,"[2087.0, 659.0, 175.0, 218.0]",1316,2948,impacted
490,train_110.png,"[1955.0, 607.0, 207.0, 237.0]",1316,2846,impacted
1013,train_497.png,"[1114.0, 915.0, 120.0, 336.0]",1504,2872,caries
2489,train_168.png,"[1563.0, 884.0, 113.0, 300.0]",1504,2868,periapical
3303,train_463.png,"[807.0, 672.0, 265.0, 255.0]",1316,2824,deep_caries
2439,train_226.png,"[1720.0, 830.0, 172.0, 339.0]",1504,2884,caries
1768,train_104.png,"[1723.3793103448277, 455.58620689655174, 89.65517241379325, 327.58620689655174]",1316,2712,caries
2204,train_67.png,"[843.0, 773.0, 279.0, 299.0]",1504,2872,periapical
112,train_564.png,"[519.5, 538.25, 201.25, 210.0]",976,1976,deep_caries
658,train_531.png,"[1099.0, 813.0, 109.0, 270.0]",1504,2872,caries
835,train_255.png,"[1812.0, 481.0, 166.0, 274.0]",1316,2954,caries
1817,train_260.png,"[1276.0, 268.75, 113.75, 198.75]",976,1976,caries
2160,train_83.png,"[1749.0, 891.0, 137.0, 323.0]",1504,2872,deep_caries
2849,train_72.png,"[1953.0, 498.0, 195.0, 212.0]",1503,2892,impacted
386,train_541.png,"[1719.0, 870.0, 179.0, 171.0]",1316,2729,deep_caries
685,train_263.png,"[669.0, 793.0, 230.0, 276.0]",1504,2868,impacted
2901,train_302.png,"[795.0, 251.0, 158.0, 306.0]",1316,2828,caries
2842,train_184.png,"[963.0, 512.0, 135.0, 288.0]",1504,2872,deep_caries
1543,train_128.png,"[2043.0, 713.0, 176.0, 192.0]",1316,2851,impacted
2178,train_566.png,"[680.0, 725.0, 190.0, 213.0]",1316,2856,impacted
1865,train_297.png,"[570.0, 646.0, 328.0, 268.0]",1504,2872,caries
3028,train_307.png,"[852.0, 316.0, 144.0, 314.0]",1316,2893,caries
3183,train_256.png,"[2165.0, 926.0, 224.0, 238.0]",1504,2884,impacted
1954,train_624.png,"[650.0, 288.6792452830189, 90.56603773584902, 220.75471698113205]",976,1976,caries
3085,train_569.png,"[2265.0, 825.0, 252.0, 236.0]",1504,2868,impacted
1451,train_88.png,"[772.0, 835.0, 223.0, 319.0]",1504,2872,caries
3105,train_284.png,"[648.0, 829.0, 157.0, 174.0]",1504,2872,impacted
818,train_303.png,"[1041.0, 520.0, 162.0, 310.0]",1504,2872,caries
1587,train_172.png,"[1659.9999999999998, 727.2727272727273, 178.18181818181824, 221.81818181818176]",1316,2885,caries
2695,train_572.png,"[786.0, 336.0, 143.0, 280.0]",1316,2927,caries
1429,train_609.png,"[1908.0, 643.0, 199.0, 345.0]",1316,2809,caries
2100,train_334.png,"[793.0, 535.0, 183.0, 318.0]",1504,2872,deep_caries
1871,train_301.png,"[998.0, 850.0, 94.0, 249.0]",1504,2512,periapical
1184,train_213.png,"[1722.0, 693.0, 206.0, 289.0]",1316,2851,deep_caries
3418,train_335.png,"[1942.095238095238, 719.2380952380953, 198.80952380952385, 202.3809523809524]",1316,2659,impacted
106,train_564.png,"[515.75, 302.0, 103.75, 205.0]",976,1976,caries
3301,train_463.png,"[1723.0, 473.0, 110.0, 285.0]",1316,2824,caries
2649,train_341.png,"[1797.9166666666667, 361.45833333333337, 152.08333333333326, 310.41666666666663]",1316,2842,caries
692,train_263.png,"[1788.0, 863.0, 226.0, 313.0]",1504,2868,caries
82,train_581.png,"[778.2972972972973, 231.8648648648649, 169.7027027027027, 182.1351351351351]",1316,2788,impacted
933,train_551.png,"[415.4518950437318, 472.8862973760933, 154.81049562682216, 150.72886297376095]",976,1976,impacted
1883,train_105.png,"[1820.4285714285713, 789.2857142857142, 176.78571428571422, 332.1428571428571]",1316,2843,caries
566,train_608.png,"[1236.0, 276.2307692307692, 106.0, 173.76923076923077]",976,1976,caries
2124,train_582.png,"[802.0, 616.0, 234.0, 244.0]",1316,2977,caries
2618,train_310.png,"[1687.6033057851241, 595.8677685950413, 108.26446280991718, 309.91735537190084]",1504,2872,caries
3026,train_55.png,"[1634.0, 908.0, 208.0, 303.0]",1504,2872,caries
609,train_683.png,"[1844.0, 300.0, 145.0, 324.0]",1316,2940,caries
1379,train_583.png,"[1604.0, 726.0, 87.0, 186.0]",1316,2839,deep_caries
3360,train_342.png,"[1566.3703703703702, 705.8888888888888, 79.62962962962979, 300.0000000000001]",1316,2942,caries
1362,train_477.png,"[1126.0, 544.0, 116.0, 328.0]",1504,2888,caries
2650,train_341.png,"[1733.3333333333335, 678.125, 300.0, 320.83333333333337]",1316,2842,caries
2665,train_212.png,"[1911.0, 671.4285714285713, 250.14285714285688, 285.57142857142867]",1316,2882,deep_caries
2164,train_349.png,"[1577.87610619469, 761.0619469026548, 102.65486725663732, 302.6548672566372]",1316,2757,deep_caries
1388,train_336.png,"[1709.0, 539.0, 112.0, 297.0]",1316,2948,deep_caries
127,train_324.png,"[1148.0, 605.0, 121.0, 296.0]",1316,2953,periapical
1964,train_314.png,"[1883.0, 910.0, 215.0, 289.0]",1504,2872,caries
3239,train_258.png,"[1766.0, 813.0, 237.0, 319.0]",1504,2872,caries
34,train_62.png,"[761.9565217391304, 464.1304347826087, 159.78260869565224, 240.2173913043478]",1316,2867,deep_caries
573,train_125.png,"[2188.0, 859.0, 184.0, 263.0]",1504,2872,caries
54,train_187.png,"[1737.0, 776.0, 228.0, 302.0]",1316,2815,periapical
3233,train_378.png,"[1806.0, 741.0, 214.0, 269.0]",1316,2805,deep_caries
695,train_240.png,"[2048.0, 719.0, 192.0, 217.0]",1316,2960,impacted
1864,train_374.png,"[584.0, 816.0, 222.0, 288.0]",1504,2868,caries
699,train_166.png,"[1625.0, 330.0, 94.0, 282.0]",1316,2947,caries
1087,train_30.png,"[1948.0, 515.0, 192.0, 193.0]",1316,2815,deep_caries
807,train_101.png,"[1689.0, 819.0, 97.0, 263.0]",1316,2916,caries
3389,train_525.png,"[1949.0, 461.0, 267.0, 286.0]",1316,2657,impacted
2211,train_67.png,"[1832.0, 742.0, 320.0, 317.0]",1504,2872,caries
603,train_513.png,"[842.0, 390.0, 140.0, 306.0]",1316,2867,deep_caries
967,train_664.png,"[533.3333333333333, 478.0952380952381, 311.66666666666674, 281.9047619047619]",1316,2759,caries
1223,train_681.png,"[1974.2222222222224, 345.0, 142.7777777777776, 273.55555555555554]",1316,2844,caries
3442,train_329.png,"[1916.0, 690.0, 243.0, 281.0]",1316,2869,caries
1951,train_631.png,"[686.5853658536585, 763.4146341463414, 175.609756097561, 280.4878048780487]",1316,2903,impacted
1928,train_612.png,"[1764.19298245614, 617.0, 303.50877192982466, 355.8947368421052]",1316,2769,caries
889,train_510.png,"[1463.013698630137, 348.8219178082192, 112.32876712328766, 306.8493150684931]",1316,2896,periapical
1412,train_412.png,"[1664.0, 477.0, 165.0, 429.0]",1504,2872,caries
1573,train_585.png,"[778.0, 829.0, 261.0, 322.0]",1504,2872,caries
1056,train_570.png,"[675.0, 602.0, 224.0, 296.0]",1316,2909,deep_caries
3320,train_360.png,"[2083.0, 887.0, 224.0, 295.0]",1504,2872,caries
1973,train_150.png,"[589.0, 602.0, 213.0, 324.0]",1316,2802,impacted
